Ano;Cód.;Município;Produto Interno Bruto a preços correntes (Mil Reais);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%)
2008;2102101;Brejo (MA);144337;24,99
2008;2102150;Brejo de Areia (MA);46672;13,77
2008;2102200;Buriti (MA);146811;16,42
2008;2102309;Buriti Bravo (MA);59078;27,56
2008;2102325;Buriticupu (MA);207251;35,23
2008;2102358;Buritirana (MA);40387;18,69
2008;2102374;Cachoeira Grande (MA);20263;12,41
2008;2102408;Cajapió (MA);17527;16,93
2008;2102507;Cajari (MA);37242;15,43
2008;2102556;Campestre do Maranhão (MA);54408;28,39
2008;2102606;Cândido Mendes (MA);52556;21,01
2008;2102705;Cantanhede (MA);49456;25,69
2008;2102754;Capinzal do Norte (MA);33318;19,08
2008;2102804;Carolina (MA);139901;39
2008;2102903;Carutapera (MA);55539;28,05
2008;2103000;Caxias (MA);907407;44,66
2008;2103109;Cedral (MA);22954;20,93
2008;2103125;Central do Maranhão (MA);17907;17,25
2008;2103158;Centro do Guilherme (MA);24583;16,42
2008;2103174;Centro Novo do Maranhão (MA);53082;12,82
2008;2103208;Chapadinha (MA);282775;42,99
2008;2103257;Cidelândia (MA);61426;29,78
2008;2103307;Codó (MA);598724;32,44
2008;2103406;Coelho Neto (MA);147925;40,18
2008;2103505;Colinas (MA);130767;32,96
2008;2103554;Conceição do Lago-Açu (MA);41776;15,57
2008;2103604;Coroatá (MA);180160;35,93
2008;2103703;Cururupu (MA);87614;27,77
2008;2103752;Davinópolis (MA);42211;23,54
2008;2103802;Dom Pedro (MA);93089;48,54
2008;2103901;Duque Bacelar (MA);23353;21,07
2008;2104008;Esperantinópolis (MA);53724;37,5
2008;2104057;Estreito (MA);352886;30,1
2008;2104073;Feira Nova do Maranhão (MA);28663;16,1
2008;2104081;Fernando Falcão (MA);27117;14,31
2008;2104099;Formosa da Serra Negra (MA);58428;15,57
2008;2104107;Fortaleza dos Nogueiras (MA);104817;19,36
2008;2104206;Fortuna (MA);47414;25,7
2008;2104305;Godofredo Viana (MA);25043;17,13
2008;2104404;Gonçalves Dias (MA);42667;25,16
2008;2104503;Governador Archer (MA);26117;24,57
2008;2104552;Governador Edison Lobão (MA);83670;33,85
2008;2104602;Governador Eugênio Barros (MA);40230;23,36
2008;2104628;Governador Luiz Rocha (MA);19698;21,61
2008;2104651;Governador Newton Bello (MA);30566;12,12
